Name,City,Code,x,y,ISO3
Abakan,Abakan,ABA,91.385,53.74,RUS
Abadan,Abadan,ABD,48.228333,30.371111,IRN
Lehigh Valley Intl,Allentown,ABE,-75.440806,40.652083,USA
Abaiang Atoll Airport,Abaiang Atoll,ABF,173.04,1.8,KIR
Abilene Rgnl,Abilene,ABI,-99.681897,32.411319,USA
Abidjan Felix Houphouet Boigny Intl,Abidjan,ABJ,-3.926294,5.261386,CIV
Kabri Dehar Airport,Kabri Dehar,ABK,44.253,6.734,ETH
Ambler Airport,Ambler,ABL,-157.8575,67.106389,USA
Bamaga Injinoo,Amberley,ABM,142.459444,-10.950833,AUS
Albina Airstrip,Albina,ABN,-54.05,5.516667,SUR
Albuquerque International Sunport,Albuquerque,ABQ,-106.6091944,35.0402222,USA
Aberdeen Regional Airport,Aberdeen,ABR,-98.4218,45.4491,USA
Abu Simbel,Abu Simbel,ABS,31.611722,22.375953,EGY
Al Baha,El-baha,ABT,41.634277,20.296139,SAU
Nnamdi Azikiwe Intl,Abuja,ABV,7.263172,9.006792,NGA
Albury,Albury,ABX,146.958056,-36.067778,AUS
Southwest Georgia Regional Airport,Albany,ABY,-84.1945,31.5355,USA
Dyce,Aberdeen,ABZ,-2.197778,57.201944,GBR
General Juan N Alvarez Intl,Acapulco,ACA,-99.753953,16.757061,MEX
Kotoka Intl,Accra,ACC,-0.166786,5.605186,GHA
Alcides Fernandez Airport,Acandi,ACD,-77.3,8.516667,COL
Lanzarote,Las Palmas,ACE,-13.605225,28.945464,ESP
St Gallen Altenrhein,Altenrhein,ACH,9.560775,47.485033,CHE
Alderney,Alderney,ACI,-2.214722,49.706111,GGY
Nantucket Mem,Nantucket,ACK,-70.060181,41.253053,USA
Sahand Airport,Maragheh,ACP,46.127903,37.348017,IRN
Araracuara Airport,Araracuara,ACR,-72.41,-0.58,COL
Waco Rgnl,Waco,ACT,-97.230519,31.611289,USA
Achutupo Airport,Achutupo,ACU,-77.98,9.2,PAN
Arcata,Arcata CA,ACV,-124.108611,40.978111,USA
Xingyi Airport,Xingyi,ACX,104.9587,25.0882,CHN
Atlantic City Intl,Atlantic City,ACY,-74.577167,39.457583,USA
Adana,Adana,ADA,35.280388,36.982166,TUR
Adnan Menderes,Izmir,ADB,27.156953,38.292392,TUR
Bole Intl,Addis Ababa,ADD,38.799319,8.977889,ETH
Aden Intl,Aden,ADE,45.028792,12.829542,YEM
Adiyaman Airport,Adiyaman,ADF,38.4689,37.7314,TUR
Marka Intl,Amman,ADJ,35.991569,31.972703,JOR
Adak Airport,Adak Island,ADK,-176.646,51.878,USA
Adelaide Intl,Adelaide,ADL,138.530556,-34.945,AUS
Ardmore Muni,Ardmore,ADM,-97.008889,34.300833,USA
Kodiak,Kodiak,ADQ,-152.493856,57.749967,USA
Addison,Addison,ADS,-96.8364478,32.9685594,USA
Ardabil Airport,Ardabil,ADU,48.424356,38.325678,IRN
Andrews Afb,Camp Springs,ADW,-76.867028,38.810806,USA
Leuchars,Leuchars,ADX,-2.868444,56.372889,GBR
Alldays Airport,Alldays,ADY,29.055278,-22.678889,ZAF
Gustavo Rojas Pinilla,San Andres Island,ADZ,-81.711192,12.583594,COL
Abemama Atoll Airport,Abemama,AEA,173.828611,0.490833,KIR
Tianyang,Baise,AEB,106.96,23.72,CHN
Abeche,Abeche,AEH,20.844333,13.847,TCD
Aeroparque Jorge Newbery,Buenos Aires,AEP,-58.415606,-34.559175,ARG
Sochi,Sochi,AER,39.956589,43.449928,RUS
Vigra,Alesund,AES,6.110164,62.560372,NOR
Allakaket Airport,Allakaket,AET,-152.6222,66.5519,USA
Alexandria Intl,Alexandria,AEX,-92.549833,31.3274,USA
Akureyri,Akureyri,AEY,-18.072703,65.659994,ISL
San Rafael,San Rafael,AFA,-68.403854,-34.588314,ARG
Kake Airport,Kake,AFE,-133.910278,56.961389,USA
Alta Floresta,Alta Floresta,AFL,-56.106206,-9.866092,BRA
Sugraly Airport,Zarafshan,AFS,64.2332,41.6139,UZB
Afutara Airport,Afutara,AFT,160.949722,-9.183056,SLB
Fort Worth Alliance Airport,Fort Worth,AFW,-97.318889,32.987778,USA
Afyon,Afyon,AFY,30.601114,38.726425,TUR
Sabzevar National Airport,Sabzevar,AFZ,57.595183,36.168083,IRN
Inezgane,Agadir,AGA,-9.546311,30.381353,MAR
Augsburg,Augsburg,AGB,10.931764,48.425158,DEU
Allegheny County Airport,Pittsburgh,AGC,-79.9302,40.3544,USA
Wangerooge Airport,Wangerooge,AGE,7.91389,53.7828,DEU
La Garenne,Agen,AGF,0.590556,44.174721,FRA
Ã„ngelholm-Helsingborg Airport,Ã„ngelholm,AGH,12.8471,56.2961,SWE
Wageningen Airstrip,Wageningen,AGI,-56.63333,5.76667,SUR
Aguni Airport,Aguni,AGJ,127.240278,26.592778,JPN
Wanigela Airport,Wanigela,AGL,149.15,-9.333,PNG
Tasiilaq,Angmagssalik,AGM,-37.618333,65.612222,GRL
Angoon Seaplane Base,Angoon,AGN,-134.585,57.503611,USA
Malaga,Malaga,AGP,-4.499106,36.6749,ESP
Agrinion,Agrinion,AGQ,21.351208,38.602022,GRC
Agra,Agra,AGR,77.960892,27.155831,IND
Augusta Rgnl At Bush Fld,Bush Field,AGS,-81.9645,33.369944,USA
Ciudad del Este,Ciudad del Este,AGT,-54.843592,-25.4555,PRY
Jesus Teran Intl,Aguascalientes,AGU,-102.317858,21.705558,MEX
Oswaldo Guevara Mujica,Acarigua,AGV,-69.237536,9.553422,VEN
Agatti,Agatti Island,AGX,72.176042,10.823656,IND
Aggeneys,Aggeneys,AGZ,18.813869,-29.281767,ZAF
Abha,Abha,AHB,42.656625,18.240367,SAU
Ahe Airport,Ahe,AHE,-146.257,-14.4281,PYF
Athens Ben Epps Airport,Athens,AHN,-83.3263,33.9486,USA
Alghero,Alghero,AHO,8.290772,40.632133,ITA
Ahuas Airport,Ahuas,AHS,-84.3522,15.4722,HND
Cherif El Idrissi,Al Hociema,AHU,-3.839525,35.177103,MAR
Alliance Municipal Airport,Alliance,AIA,-102.803889,42.053333,USA
Airok Airport,Airok,AIC,171.233333,7.1,MHL
Aiome,Aiome,AIE,144.44,-5.8,PNG
Municipal Airport,Aiken,AIK,-81.6850278,33.6493889,USA
Ailuk Airport,Ailuk Island,AIM,169.983,10.2168,MHL
Wainwright Airport,Wainwright,AIN,-159.994722,70.638056,USA
Arorae Island Airport,Arorae,AIS,179.816667,-2.633333,KIR
Aitutaki,Aitutaki,AIT,-159.764233,-18.830922,COK
Atiu Island Airport,Atiu Island,AIU,-158.119,-19.9678,COK
Lee C Fine Memorial Airport,Kaiser Lake Ozark,AIZ,-92.5494875,38.096035,USA
Campo Dell Oro,Ajaccio,AJA,8.802917,41.923637,FRA
Al-Jawf Domestic Airport,Al-Jawf,AJF,40.100006,29.785133,SAU
Agri Airport,Agri,AJI,43.0271,39.6546,TUR
Aizawl,Aizwal,AJL,92.802767,23.746603,IND
Ouani,Anjouan,AJN,44.430279,-12.131667,COM
Arvidsjaur,Arvidsjaur,AJR,19.281944,65.590278,SWE
Santa Maria,Aracaju,AJU,-37.070333,-10.984,BRA
Manu Dayak,Agadez,AJY,8.000114,16.965997,NER
Ankang Airport,Ankang,AKA,108.931,32.7081,CHN
Atka Airport,Atka,AKB,-174.206389,52.220278,USA
Akron Fulton Intl,Akron,AKC,-81.466917,41.0375,USA
Akola,Akola,AKD,77.058628,20.699006,IND
Kufra,Kufra,AKF,23.313958,24.178728,LBY
Akiak Airport,Akiak,AKI,-161.230556,60.902778,USA
Asahikawa,Asahikawa,AKJ,142.4475,43.670833,JPN
Akhiok Airport,Akhiok,AKK,-154.1825,56.938611,USA
Auckland Intl,Auckland,AKL,174.791667,-37.008056,NZL
King Salmon,King Salmon,AKN,-156.649278,58.676778,USA
Anaktuvuk Pass Airport,Anaktuvuk Pass,AKP,-151.743,68.1336,USA
Akure,Akure,AKR,5.301008,7.246739,NGA
Auki Airport,Auki,AKS,160.682,-8.70257,SLB
Akrotiri,Akrotiri,AKT,32.987861,34.590416,CYP
Aksu Airport,Aksu,AKU,80.2917,41.2625,CHN
Akulivik Airport,Akulivik,AKV,-78.1486,60.818600000000004,CAN
Aktyubinsk,Aktyubinsk,AKX,57.206667,50.245833,KAZ
Sittwe,Sittwe,AKY,92.872628,20.132708,MMR
Almaty,Alma-ata,ALA,77.040508,43.352072,KAZ
Albany Intl,Albany,ALB,-73.801692,42.748267,USA
Alicante,Alicante,ALC,-0.558156,38.282169,ESP
Alta,Alta,ALF,23.371667,69.976111,NOR
Houari Boumediene,Algier,ALG,3.215408,36.691014,DZA
Albany Airport,Albany,ALH,117.809,-34.9433,AUS
Alice Intl,Alice,ALI,-98.026944,27.740889,USA
Alexander Bay,Alexander Bay,ALJ,16.533333,-28.575001,ZAF
Albenga,Albenga,ALL,8.127428,44.050608,ITA
Alamogordo White Sands Regional Airport,Alamogordo,ALM,-105.991,32.8399,USA
Waterloo Regional Airport,Waterloo,ALO,-92.4003,42.5571,USA
Aleppo Intl,Aleppo,ALP,37.224358,36.180675,SYR
Alexandra,Alexandra,ALR,169.373333,-45.211666,NZL
San Luis Valley Regional Airport,Alamosa,ALS,-105.866667,37.435,USA
Alula Airport,Alula,ALU,50.733,11.95,SOM
Walla Walla Regional Airport,Walla Walla,ALW,-118.288,46.0949,USA
Alexandria,Alexandria,ALX,-77.0621,38.806346,USA
Alexandria Intl,Alexandria,ALY,29.948889,31.183903,EGY
Alitak Seaplane Base,Lazy Bay,ALZ,-154.247778,56.899444,USA
Rick Husband Amarillo Intl,Amarillo,AMA,-101.705931,35.219369,USA
Ambilobe,Ambilobe,AMB,48.987978,-13.188431,MDG
Am Timan Airport,Am Timan,AMC,20.274,11.034,TCD
Ahmedabad,Ahmedabad,AMD,72.63465,23.077242,IND
Arba Minch,Arba Minch,AMH,37.590453,6.039389,ETH
Selaparang,Mataram,AMI,116.094656,-8.560708,IDN
Queen Alia Intl,Amman,AMM,35.993214,31.722556,JOR
Pattimura,Ambon,AMQ,128.089136,-3.710264,IDN
Schiphol,Amsterdam,AMS,4.763889,52.308613,NLD
Amderma Airport,Amderma,AMV,61.5564,69.7633,RUS
Ambatomainty Airport,Ambatomainty,AMY,47.1833,-17.1667,MDG
Ardmore,Ardmore,AMZ,174.973333,-37.029722,NZL
Anniston Metro,Anniston,ANB,-85.858111,33.588167,USA
Ted Stevens Anchorage Intl,Anchorage,ANC,-149.996361,61.174361,USA
Anderson Rgnl,Andersen,AND,-82.709389,34.494583,USA
Angers-Loire Airport,Angers/MarcÃ©,ANE,-0.312222,47.5603,FRA
Cerro Moreno Intl,Antofagasta,ANF,-70.4451,-23.444478,CHL
Brie Champniers,Angouleme,ANG,0.221456,45.729247,FRA
Aniak Airport,Aniak,ANI,-159.543,61.5816,USA
Etimesgut,Ankara,ANK,32.688622,39.949831,TUR
Antsirabato,Antalaha,ANM,50.320233,-14.999411,MDG
Annette Island,Annette Island,ANN,-131.572233,55.042436,USA
Lee Airport,Annapolis,ANP,-76.568333,38.942778,USA
Tri-State Steuben County Airport,Angola,ANQ,-85.0834933,41.6396983,USA
Deurne,Antwerp,ANR,4.460278,51.189444,BEL
Andahuaylas,Andahuaylas,ANS,-73.350378,-13.706408,PER
V C Bird Intl,Antigua,ANU,-61.792667,17.136749,ATG
Anvik Airport,Anvik,ANV,-160.191,62.6467,USA
Andenes,Andoya,ANX,16.144167,69.2925,NOR
Altenburg Nobitz,Altenburg,AOC,12.506361,50.981817,DEU
Anadolu Airport,Eskissehir,AOE,30.519378,39.809858,TUR
Lima Allen County Airport,Lima,AOH,-84.0270781,40.707478,USA
Falconara,Ancona,AOI,13.362222,43.616389,ITA
Aomori,Aomori,AOJ,140.690833,40.734722,JPN
Karpathos,Karpathos,AOK,27.146008,35.421408,GRC
Paso De Los Libres,Paso De Los Libres,AOL,-57.152078,-29.689425,ARG
Altoona Blair Co,Altoona,AOO,-78.320022,40.296372,USA
Sultan Abdul Halim,Alor Setar,AOR,100.398183,6.189667,MYS
Amook Bay Seaplane Base,Amook Bay,AOS,-153.815278,57.471389,USA
Aosta Airport,Aosta,AOT,7.368719,45.738456,ITA
Centennial,Denver,APA,-104.849294,39.570129,USA
Napa County Airport,Napa,APC,-122.2806944,38.2131944,USA
Naples Muni,Naples,APF,-81.775294,26.152619,USA
Phillips Aaf,Aberdeen,APG,-76.168808,39.466219,USA
Apataki Airport,Apataki,APK,-146.415,-15.5736,PYF
Nampula,Nampula,APL,39.2818,-15.105611,MOZ
Alpena County Regional Airport,Alpena,APN,-83.5603,45.0781,USA
ApartadÃ³ Airport,ApartadÃ³,APO,-77.2,7.033,COL
Faleolo Intl,Faleolo,APW,-172.008336,-13.829969,WSM
ZAPALA,ZAPALA,APZ,-70.113581,-38.9755,ARG
Araraquara,Araracuara,AQA,-48.133028,-21.812,BRA
Klawock Seaplane Base,Klawock,AQC,-133.101693,55.554658,USA
Anqing Airport,Anqing,AQG,117.0502,30.5822,CHN
Qaisumah,Hafr Al-batin,AQI,46.125069,28.335192,SAU
Aqaba King Hussein Intl,Aqaba,AQJ,35.018067,29.611619,JOR
Rodriguez Ballon,Arequipa,AQP,-71.583083,-16.341072,PER
Acadiana Rgnl,Louisiana,ARA,-91.883896,30.037758,USA
Ann Arbor Municipal Airport,Ann Arbor,ARB,-83.444418,42.132274,USA
Arctic Village Airport,Arctic Village,ARC,-145.579,68.1147,USA
Mali Airport,Alor Island,ARD,124.597,-8.13234,IDN
Antonio Juarbe Pol Airport,Arecibo,ARE,-66.675556,18.451111,PRI
Talagi,Arkhangelsk,ARH,40.430167,64.360281,RUS
Chacalluta,Arica,ARI,-70.338742,-18.348531,CHL
Arusha,Arusha,ARK,36.633333,-3.367794,TZA
Armidale,Armidale,ARM,151.617222,-30.528056,AUS
Arlanda,Stockholm,ARN,17.918611,59.651944,SWE
Alto Rio Senguer Airport,Alto Rio Senguer,ARR,-70.816667,-45.016667,ARG
Watertown Intl,Watertown,ART,-76.021739,43.991922,USA
Aracatuba,Aracatuba,ARU,-50.424722,-21.141342,BRA
Lakeland,Minocqua - Woodruff,ARV,-89.730833,45.927778000000004,USA
Arad,Arad,ARW,21.262022,46.17655,ROU
Assab Intl,Assab,ASA,42.645006,13.071783,ERI
Ashgabat,Ashkhabad,ASB,58.360967,37.986814,TKM
Fresh Creek,Andros Town,ASD,-77.795611,24.698283,BHS
Aspen Pitkin County Sardy Field,Aspen,ASE,-106.869,39.2232,USA
Astrakhan,Astrakhan,ASF,48.006278,46.283333,RUS
Boire Field Airport,Nashua,ASH,-71.5147778,42.78175,USA
Wideawake Field,Georgetown Acension Island Santa Helena,ASI,-14.393664,-7.969597,GBR
Amami,Amami,ASJ,129.712542,28.430633,JPN
Yamoussoukro,Yamoussoukro,ASK,-5.365581,6.903167,CIV
Asmara Intl,Asmara,ASM,38.910667,15.291853,ERI
Asosa,Asosa,ASO,34.586253,10.01855,ETH
Alice Springs,Alice Springs,ASP,133.902222,-23.806667,AUS
Erkilet,Kayseri,ASR,35.495428,38.770386,TUR
Astoria Regional Airport,Astoria,AST,-123.878694,46.157972,USA
Silvio Pettirossi Intl,Asuncion,ASU,-57.519133,-25.23985,PRY
Amboseli Airport,Amboseli National Park,ASV,37.2531,-2.64505,KEN
Aswan Intl,Aswan,ASW,32.819975,23.964356,EGY
Comandante Fap German Arias Graziani,Anta,ATA,-77.598392,-9.347444,PER
Atbara Airport,Atbara,ATB,33.967,17.7,SDN
Arthurs Town Airport,Arthur's Town,ATC,-75.673775,24.629417,BHS
Uru Harbour Airport,Atoifi,ATD,161.011,-8.87333,SLB
Chachoan,Ambato,ATF,-78.574636,-1.212067,ECU
Eleftherios Venizelos Intl,Athens,ATH,23.944467,37.936358,GRC
Antsirabe,Antsirabe,ATJ,47.065278,-19.836944,MDG
Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,ATK,-157.436,70.4673,USA
Hartsfield Jackson Atlanta Intl,Atlanta,ATL,-84.428067,33.636719,USA
Altamira,Altamira,ATM,-52.253978,-3.253906,BRA
Tadji Airport,Aitape,ATP,142.43,-3.18985,PNG
Amritsar,Amritsar,ATQ,74.797264,31.709594,IND
Atar,Atar,ATR,-13.043194,20.506828,MRT
Camp Mabry Austin City,Austin TX,ATT,-97.7666,30.31666,USA
Appleton,Appleton,ATW,-88.507576,44.257526,USA
Watertown Regional Airport,Watertown,ATY,-97.1547,44.914,USA
Asyut International Airport,Asyut,ATZ,31.011983,27.046508,EGY
Reina Beatrix Intl,Oranjestad,AUA,-70.015221,12.501389,ABW
Augsburg HBF,Augsburg,AUB,10.886,48.3655,DEU
Santiago Perez,Arauca,AUC,-70.736925,7.068881,COL
Branches,Auxerre,AUF,3.497111,47.850193,FRA
Augusta State,Augusta,AUG,-69.797317,44.320647,USA
Abu Dhabi Intl,Abu Dhabi,AUH,54.651138,24.432972,ARE
Ambunti,Ambunti,AUJ,142.51,-4.15,PNG
Alakanuk Airport,Alakanuk,AUK,-164.66,62.68,USA
Aur Island Airport,Aur Atoll,AUL,171.173,8.14528,MHL
Hiva Oa-Atuona Airport,Hiva-oa,AUQ,-139.011256,-9.768794,PYF
Aurillac,Aurillac,AUR,2.421944,44.891388,FRA
Austin Bergstrom Intl,Austin,AUS,-97.669889,30.194528,USA
Aurukun Airport,Aurukun,AUU,141.721,-13.3539,AUS
Wausau Downtown Airport,Wausau,AUW,-89.6270018,44.9262845,USA
Araguaina Airport,Araguaina,AUX,-48.240833,-7.228333,BRA
Anelghowhat Airport,Anelghowhat,AUY,169.771,-20.2492,VUT
Aviano Ab,Aviano,AVB,12.596472,46.031889,ITA
Maximo Gomez,Ciego De Avila,AVI,-78.789617,22.027053,CUB
Arvaikheer Airport,Arvaikheer,AVK,102.802,46.2503,MNG
Asheville Regional Airport,Asheville,AVL,-82.541806,35.436194,USA
Caumont,Avignon,AVN,4.901831,43.9073,FRA
Executive,Avon Park,AVO,-81.528889,27.591389,USA
Wilkes Barre Scranton Intl,Scranton,AVP,-75.723403,41.338478,USA
Avalon,Avalon,AVV,144.469444,-38.039444,AUS
Marana Regional,Tucson,AVW,-111.218388,32.409556,USA
Avalon,Catalina Island,AVX,-118.415833,33.405,USA
Awasa Airport,Awasa,AWA,38.5,7.067,ETH
Awaba Airport,Awaba,AWB,142.75,-8.014,PNG
Aniwa Airport,Aniwa,AWD,169.605,-19.24,VUT
Wake Island Afld,Wake island,AWK,166.636444,19.282067,USA
Ahwaz,Ahwaz,AWZ,48.76195,31.337431,IRN
Wallblake,The Valley,AXA,-63.055084,18.204834,AIA
Dimokritos,Alexandroupolis,AXD,25.956264,40.855869,GRC
Amakusa Airfield,Amakusa,AXJ,130.158889,32.482222,JPN
Ataq,Ataq,AXK,46.826183,14.551322,YEM
El Eden,Armenia,AXM,-75.766447,4.452775,COL
Spring Point,Spring Point,AXP,-73.970858,22.441828,BHS
Arutua,Arutua,AXR,-146.616708,-15.248289,PYF
Akita,Akita,AXT,140.218611,39.615556,JPN
